b'Adana',ADA
b'Ankara',ESB
b'Alanya',GZP
b'Antalya',AYT
b'Bal\xc4\xb1kesir',EDO
b'Bursa',YEI
b'Denizli',DNZ
b'Diyarbak\xc4\xb1r',DIY
b'Elaz\xc4\xb1\xc4\x9f',EZS
b'Erzurum',ERZ
b'Eski\xc5\x9fehir',AOE
b'Gaziantep',GZT
b'Hatay',HTY
b'Isparta',ISE
b'Istanbul',ISL
b'Istanbul',IST
b'Istanbul',SAW
b'\xc4\xb0zmir',ADB
b'Kars',KSY
b'Kayseri',ASR
b'Izmit',KCO
b'Konya',KYA
b'K\xc3\xbctahya',KZR
b'Malatya',MLX
b'Mu\xc4\x9fla',DLM
b'Mu\xc4\x9fla',BJV
b'Nev\xc5\x9fehir',NAV
b'Ordu',OGU
b'Samsun',SZF
b'Sinop, Turkey',NOP
b'Sivas',VAS
b'\xc5\x9eanl\xc4\xb1urfa',GNY
b'Tekirda\xc4\x9f',TEQ
b'Trabzon',TZX
b'Van, Turkey',VAN
b'Zonguldak',ONQ
b'Ad\xc4\xb1yaman',ADF
b'A\xc4\x9fr\xc4\xb1',AJI
b'Amasya',MZH
b'Ayd\xc4\xb1n',CII
b'Bal\xc4\xb1kesir',BZI
b'Batman, Turkey',BAL
b'Bing\xc3\xb6l',BGG
b'\xc3\x87anakkale',CKZ
b'\xc3\x87anakkale',GKD
b'Erzincan',ERC
b'Hakkari',YKO
b'I\xc4\x9fd\xc4\xb1r',IGD
b'Kahramanmara\xc5\x9f',KCM
b'Kastamonu',KFS
b'Mardin',MQM
b'Mu\xc5\x9f',MSR
b'Siirt',SXZ
b'\xc5\x9e\xc4\xb1rnak',NKT
b'Tokat',TJK
b'U\xc5\x9fak',USQ
b'Afyon',AFY
b'Amasya',MZH
b'Ankara',ANK
b'Bal\xc4\xb1kesir',BZI
b'Bal\xc4\xb1kesir',BDM
b'Bursa',BTZ
b'Diyarbak\xc4\xb1r',DIY
b'Eski\xc5\x9fehir',ESK
b'\xc4\xb0zmir',IGL
b'Kayseri',ASR
b'Izmit',KCO
b'Konya',KYA
b'Malatya',MLX
b'Mu\xc4\x9fla',BXN
b'Samsun',SSX
b'Urfa',SFQ
